為	làm việc,vị,vy,vi
汆	tù,thoản,thộn
築	trúc
湊	thấu,tấu
澼	phích,tịch
聘	sính
羊	tường,dương
侵	tẩm,xâm,thẩm
眢	oan,uyên
簵	lộ
敌	địch
玦	quyết
闶	kháng,khang
铵	an
標	tiêu,phiêu
嗦	sách,thoa
蕫	đổng
鎰	dật
輺	tri,truy
捆	khổn,hồn
拊	phu,phủ,phụ
橦	sàng,đồng,tràng
覜	diểu,thiếu
侠	hiệp
陕	xiểm,thiểm,hiệp
淳	thuần
籤	thiêm,tiêm
舡	hang
逫	quyết,truất
轤	lư,lô
頖	phán
溰	nghi
阤	đà,trĩ,dĩ
阓	hội
熘	lựu
糂	tảm
茻	võng,mãng
畨	phiên
躅	trạc,trục
掯	khẳng
哺	bu,bộ,bô
𫓱	kiều
掆	cương,cang,giang
帗	phạt,bạt
譔	soạn
塘	đường
蓳	cẩn
疋	nhã,sơ,thất
栅	san,sách
哅	hung
鼇	ngao
膟	suất
尃	phu
窸	tất
菌	khuẩn
啤	ty,bì,ti,tỳ
獷	quáng,quánh,quảng,cảnh
察	sát
藶	lịch
松	tung,tùng,tông
礽	nhưng
椄	tiếp
娇	kiều
苴	trư,trạ,bao,tra,thỏ,tô,thư,tư
亟	khí,cức
肛	soang,giang,xoang,khang,cương
幸	hạnh
純	truy,đồn,tuyền,chuẩn,thuần
偻	lũ,lâu
潙	quy,vy
頎	kỳ,kì,khẩn
翼	dực
狋	nghi
锄	sự,sừ
灬	hỏa
皿	mãnh,mẫn
帆	phâm,phàm
贛	cảm,cống,cám
栎	lịch,lao
间	dản,gián,gian,nhàn
芗	hương
犹	do,du,dứu
汰	thái,thải
畯	tuấn
憩	khế
酺	bộ,bồ,bô
覥	điễn,điển,điến,diễn
鲕	nhi
禘	đế
柢	đế,để
涡	oa,qua
铔	á,a
鎗	sanh,thương,sang
跳	khiêu,đào
拏	nã,noa
鰥	quan,côn
袂	duệ,mệ
惘	võng
誦	tụng
祝	chú,chúc
艾	nghệ,ngải
泏	truất
儃	thản,bồi
刄	lạng,lượng
薨	hoăng,hoằng
峗	qụy
觅	mịch
硠	lang
体	thể,bổn
窯	dao,diêu
敝	tệ
扩	khuếch,khoáng,khoác,khoách
錪	điển
邹	trâu
活	hoạt,quạt
鯸	hầu
認	nhận
笋	tuân,duẫn,duẩn,tuẩn
僥	kiểu,nghiêu
橫	hoạnh,quáng,hoành
沛	bái,phái
铦	thiểm,tiêm
马	mã
夆	phùng,phong
褪	thoái,thốn,thối
傉	nục
萚	thác
逼	bức
燠	ủ,áo,úc,ốc,ứ
蜊	lị,ly,lợi
刱	sang,sáng
囯	quốc
懤	trù
阿	ốc,á,a
婼	xúc,xước,nhược,nhi
怀	phó,hoài,phụ
嗯	ân
澜	lan
牂	tang
琉	lưu
擷	hiệt
臙	yên
咂	táp
速	tốc
莝	tỏa
儤	bạo
鸷	chí
瘤	lựu,lưu
冰	băng,ngưng
驦	sương
廉	liêm
悞	ngộ
蝍	tức
灡	lan
蓠	ly,li
曌	chiếu
雍	úng,ủng,ung
甯	ninh,nịnh
萊	lai
痻	mân
獽	nhương
夭	yểu,yêu
褞	ôn,uấn
鋄	vạn
丞	chưng,chửng,thừa
値	trực,trị
阴	âm,ấm
裒	bầu,bật,phầu
釶	thi,tha
撻	thát
疿	phí,phi
葌	gian
轄	hạt
匂	cái
綢	thao,trừu,trù
詿	quái
这	giá,nghiện
懋	mậu
懲	trừng
綏	thỏa,nhuy,tuy
嵸	tung
囊	nang
玞	phu
濁	trọc,trạc
沈	trầm,thẩm,trấm
砳	lặc
蜀	thục
蔪	sam,tiêm
襟	khâm
嚜	mặc,muội,ma
怗	chiêm,thiếp,siêm
觜	tủy,tư,chủy,tuy
替	thế
韋	vy,vi
垧	quynh,thưởng
攪	cảo,giảo
蓦	mạch
傯	tổng
跐	thử,thải
蘴	phong
孏	lãn
崪	tụy,tột,tốt
梱	ngôn,khổn,khốn
鳊	biên
裕	dụ
糖	đường
瀋	trầm,thẩm,trấm
鞾	ngoa
豗	hôi
伲	nễ
貔	tì,tỳ
歆	hâm
蠭	phong
櫂	trạo,trạc
呛	sang,thương
飱	san,tôn,sôn
哰	lao
櫉	trù
郡	quận
琛	sâm
鋁	lự,lữ
鬽	mị
漘	thần
偄	noàn,nuyên
缧	luy
叙	tự
鉏	sừ,tra,từ,tư,trở
猞	xá
賁	phẫn,phẩn,phần,bí,bôn
嬲	điểu,niễu,niểu,điều
泣	khấp
裌	giáp
搂	lâu
桴	phu,phù
謈	bạc,bào
廢	phế
睾	cao
氽	thận,thộn,thoản
鼙	bề,bế
蓧	thiểu,điệu,địch,điếu,điều
鼋	nguyên,ngoan
鞗	điều
穩	ổn
耿	quýnh,huỳnh,cảnh
颢	hạo,hiệu
苲	trả
磻	bàn,bà
佻	diêu,điệu,thiêu,khiêu,dao,điểu,điêu
骻	khỏa,khóa
赵	triệu
纜	lãm
牒	điệp
溛	oa
橜	quyết
轖	sắc
虮	kỉ,kì,kỷ
鸪	cô
崎	kỳ,khi
夹	kiếp,giáp
啦	lạp
斄	ly,li,lai
齋	trai
猭	duyên,thiên,chuyên
褥	nhục
苇	vy,vĩ,vi
了	liễu,liệu
騵	nguyên
滥	cãm,lạm,lãm
卧	ngọa
邿	thi
鹈	đề
酥	tô
齀	ngột
瓻	hy,hi
姫	cơ
揍	thấu,tấu
颣	lỗi
漓	ly,li
睊	quyến
沏	thiết,thế
罧	sâm
蒔	thi,thì
麢	linh
穰	nhương,nhưỡng
疻	chỉ
獎	tưởng
诠	thuyên
痔	trĩ
獟	hiêu,nghiêu
茜	tê,trệ,thiến,tây
鲍	bão,bào,bảo
頾	tư,tỳ
塢	ổ
宝	bửu,bảo
殮	liệm,liễm
纨	hoàn
慷	khảng
棣	lệ,đại,đệ,thế
跩	duệ,thế
樊	phiền,phàn
嶞	đọa
謝	tạ
醣	đường
皖	hoàn,hoán,hoãn
宏	hoằng,hoành
趋	xúc,xu
讌	yên,yến
燔	phần,phiền
攌	hoàn
谮	tiếm,trấm
咆	bào
蔹	liêm,liễm
揝	tản,toản
愲	cốt
踴	dõng,dũng
阵	trận
鋏	khiếp,kiệp,giáp
鬁	lị,thích,lợi
越	hoạt,việt
帓	mạt
摧	thôi,tồi,tủy,tỏa
醪	giao,dao,lao
莛	đình
蘆	lư,lô
逭	hoán
鲸	kình
纁	huân
捍	tốc,hãn
殕	phẫu,phủ
拓	tháp,chích,thác
募	mộ
催	thôi
嶒	tằng
黏	niêm
刨	bào
刪	san
卲	thiệu,thiều
洩	duệ,tiết
柮	đóa,đốt
累	luy,lũy,lõa,lụy
兕	hủy
嵎	ngu,ngung
噫	y,ái,ức,ý
楕	thỏa
驗	nghiệm
胇	phế,bái
呒	mô
侪	sài
茕	quỳnh
畬	xa,dư
螵	phiêu
説	duyệt,thuyết,thuế
徨	hoàng
瞪	trừng
囁	chiếp,nhiếp
指	chỉ
濑	lại,lai
惷	xuẩn
蜞	kỳ,kì
瘑	qua
牣	nhận
痺	ty,tý,tê,tí
擸	tạp,liệp,lạp
酔	túy
麾	huy
竁	xuyến,xuế
桄	quang,quáng
牽	khiên,khản
壥	triền
鋰	lý
剺	ly,li
埌	lãng
舀	yểu,du
枱	cử,di,đài
灩	liễm,diễm
蔡	sái,thái,tát
珦	hướng
搶	thưởng,thảng,thướng,sang,thương,sanh
府	phủ
晟	thịnh,thạnh
盧	lư,lô
蹫	quỳnh
嚐	thường
嚱	hy,hi
薯	thự
矲	bả,bái
裰	chuyết,xuyết
鶡	hạt
躬	cung
桿	can,hãn
椑	tích,bế
鯗	tưởng
篎	miểu
圹	khoáng
瞰	khám
隐	ấn,ẩn
櫎	hoảng
雇	cố
飔	ty,ti
婵	thiền,thuyền
歜	xúc
愨	khác,xác
柴	tứ,sài,si,tý,tái,trại
濜	tận,tấn
垒	lũy,luật
尨	mang,mông
洸	quang,hoảng
殯	thấn,tẫn,tấn
逦	lị,lệ
薄	bác,bạc
餫	hồn
蜡	chá,trá,thự,thư,lạp
售	thụ
煝	my
椗	đĩnh,đính
踸	sẩm
相	tướng,tương
睕	uyên
適	đích,địch,thích,quát,trích
琭	lộc
睖	lăng
汋	chước,thược
墮	huy,đọa
枉	uổng
摍	súc
笢	mân
朽	hủ
蜮	vực,quắc,quách
錜	niệm
疳	cam
净	tịnh
韛	bộ,bại,bị
首	thú,thủ
錁	qủa
恌	thiêu,khiêu,dao
华	hoa,hóa
齍	tư
鄲	đan
鹕	hồ
瀀	ưu
爼	trở
漕	tào
鵝	nga
齇	tra
擺	bài,bãi
皃	mạo
角	cốc,lộc,giác,giốc
顖	tín
瞑	miên,minh,miễn
狁	duẫn,doãn
鲶	niềm,niêm
农	nùng,nông
櫝	độc
狴	bệ
锜	ky,kĩ,ki,kỹ
诺	nặc
鬢	mấn,tấn
缶	phũ,phẫu,phữu
厱	lam
珙	củng
毘	tì,bì,tỳ
寪	vị,vĩ
柹	thị,sĩ
績	tích
伥	trành
鱸	lư,lô
赛	tái,trại
差	sai,tha,si,soa,ta,sái
妦	phong
偁	xưng,xứng
噍	tiêu,tưu,tiếu
厊	nhã
繤	toản
汀	đinh
纇	lỗi
價	giá,giới
䎱	bá
吱	chi,khi,tư
紓	thư
鱗	lân
餺	bác
颹	vĩ
挃	trất
冕	miện
拄	trụ
勯	đan,đàn
拯	chủng,chửng
齞	nghiễn
儂	nùng,nông
咔	ca
惬	khiếp,thiếp
洑	phục
窋	truật,quật
挛	luyến,luyên
莹	oánh
建	kiến,kiển
齼	sở
暝	mịnh,mính,minh
兌	duệ,nhuệ,duyệt,đoài,đoái
淙	tông
桲	bột
庄	bành,trang
樵	tiều
枪	sanh,sang,thương
羴	chiên,thiên
毗	tỳ,tì,bì
挢	kiểu,kiệu,kiều
霎	sáp,thiếp,siếp
夅	hàng
趻	sẩm,trần
胈	bạt
柱	trụ,trú
䴘	đề
汮	quân
汃	bân,bẩm,bát
姆	hối,mỗ,mẫu
诊	chẩn
哄	hống
瀁	dưỡng,dạng
鱄	chuyên,đoàn
帯	đái,đới
殡	thấn,tẫn,tấn
襕	lan
痤	tọa,toa
翑	cù
鼮	đình
圁	ngân
賃	nhẫm,nhấm
娘	nương
汍	hoàn
脱	thoát,đoái
頵	quần
苿	mạt
乾	càn,can,kiền
儳	sàm,sảm
峋	tuân
櫧	chư
営	doanh,dinh
輸	thú,thâu,du
軼	điệt,triệt,dật
野	dã
蝂	bản
沤	ẩu,âu
瞳	đồng
串	xuyến,quán
例	lệ
隮	tề,tê,tễ
处	xứ,xử
摈	bấn,thấn,tấn
襖	áo
隞	ngao
仉	chưởng
媆	nhuyễn,nộn
瓮	úng,ủng,ung
窕	thiêu,dao,điệu
雊	cấu,cẩu
汩	mịch,dật,hốt,duật,cốt
約	ước,yêu
奼	xá,sá
祁	kỳ,kì
乒	binh
帏	vy,vi
烴	hĩnh,thinh,kính
枓	đẩu,chủ,đấu
歫	cự
輳	thấu
繅	tao,tảo,sào
臮	ký
桶	dõng,thũng,dũng
譍	ưng,ứng
螝	hủy,hối
選	toán,tuyển,soát,tuyến,toản
逬	bình,bính
蛱	hiệp,kiệp,giáp
譖	tiếm,trấm
淛	chiết
耜	tỷ,cử,tỉ
塙	xác,sác
暂	tạm
偿	thường
肨	bàng,bang,bàn
貆	hoàn,hoan
营	doanh,dinh
塹	tiệm,tạm
镁	mĩ,mỹ
趢	lộc
麝	xạ
闍	đồ,xà
蘞	liêm,liễm
听	thính,ngân,dẫn
蓼	lục,liễu,liệu
袆	y,huy
詹	chiêm,đạm
比	tỷ,bỉ,tỉ,tỵ,bí,bì
搥	trùy,đôi
鑽	toàn,toản
回	hồi,hối
鳐	dao,diêu
恶	ác,ố,ô
獍	kính
𡰿	súc,bộc,cục
柵	san,sách
畦	huê
冱	hộ,hỗ
哶	mã
櫥	trù
躪	lận
課	khóa
釐	hy,ly,li,hi
薈	hội,oái
絻	vãn,vấn,miện,miễn
酢	thố,tạc
錢	tiền,tiễn
荦	lạc
眦	tý,trại,tí,xải
葒	hồng
琳	lâm
椾	tiên
膙	cưỡng
蘧	cù,cừ
驝	thác
履	lí,lý
锤	chùy,chúy
躇	trừ,xước,trù,sước
吸	hấp
訋	hồng
行	hãng,hàng,hạng,hành,hạnh
去	khử,khứ,khu
懶	lại,lãn
茏	long,lung
繇	do,chựu,diêu,dao,lựu
猪	trư
妓	kĩ,kỹ
奧	úc,áo
堂	đàng,đường
漁	ngư
篑	qũy
鼧	đà
耧	lâu
踆	tồn,thuân
猺	dao
瑴	giác
飴	di,tự
璇	tuyền
丼	tỉnh,đảm
哮	hao
磔	trích,trách
錦	cẩm
緙	khách
芐	hạ
狃	nữu,nứu
倯	tùng
摸	mạc,mô
徳	đức
袨	huyễn
墡	thiện
渼	mĩ,mỹ
仪	nghi
怚	thư,tự
誶	tối
鞨	mạt,hạt
彆	biệt,tệ
若	nhã,nhược
掰	phách,bai,bài
谖	huyên
耥	thảng
座	tọa,tòa
凳	đắng
藸	trư,chư
囪	thông,song
勑	sắc,lại,lai
硃	châu,chu
淡	đạm,đàm
飧	san,tôn,sôn
敂	khấu
闪	siểm,thiểm
罋	úng,ung
琯	quản
补	bổ
袙	mạt
焭	quỳnh
匌	cáp
嚘	ưu
呀	a,nha
剒	thố
瘚	quyết
溯	tố
弊	tế,tệ,tiết
皙	tích
洏	nhi
媵	dắng,dựng
桮	bôi
禧	hy,hi
腦	não
龛	khám,kham
襻	phán
苙	lập
盇	hạp
訑	nãn,tha,đản,đà,di
氲	uân
珑	lung
墯	đọa
篰	bộ,bậu
梨	lê
菘	tùng
啑	xiệp,xiếp,tiệp,điệp
辉	huy,huân,vận
臆	ức
讠	ngôn
笇	toán
磾	đê,đạn
泾	kinh,kính
庳	ty,tì,bỉ,tý,bí,tỳ
篨	trừ
緻	trí
齠	điều
磇	tỳ
隑	kỳ,ngai
瀆	đậu,độc
筈	quát
屰	nghịch,kích
韬	thao
趹	quế,quyết
耡	sự,trợ,sừ
驳	bác
僇	lục
㥯	ẩn
茄	già,cà,gia
慴	chiếp,triệp,chiệp,điệp,nhiếp
鲫	tức
歬	tiền
忴	liên,linh
槲	hộc
轂	cốc
羾	hồng
私	tư
熾	xí,sí
团	đoàn
隒	nghiệm
鮯	cáp
迭	điệt,tuyển
聑	tie1,điệp
疚	cứu
鱺	lễ,ly,li
爐	lư,lô
忾	hất,hy,khái,hi,khải
馨	hấn,hinh
歂	suyễn,thuyên
效	hiệu
硪	ngã,ngạ,nga
敛	liệm,liễm
瑙	não
撋	nhuyên
墳	bổn,phần,phẫn
僣	thiết,tiếm
亮	lương,lượng
懌	dịch
湫	tiều,tiểu,tưu
紒	kế
岣	cu,cẩu
邶	bắc,bội
霂	mộc
徂	tồ
莸	do,du
臈	lạp
堽	cương
摁	ân
臻	trân,trăn
赧	noãn,noản
臃	ủng,ung
觳	hộc,hạc,giác,xác
痼	cố
紅	công,hồng
齌	tễ
繊	tiêm
旸	dương
甸	điện,thịnh,điền
甥	sanh,sinh
瀿	phiền
觴	thương,tràng,trường
墧	xác,kiều
跔	câu
诔	lụy,lỗi
箜	không
嚩	phạm,phạ,phược
蹎	điên
扦	thiên,hãn
纖	tiêm
乗	thặng,thừa
緄	hỗn,cổn
闳	hoằng,hoành
羁	ky,ki
兩	lạng,lưỡng,lượng
尗	thúc
江	giang
斠	các,dác,giác
軑	đại,đệ
辈	bối
忉	đao
涝	lão,lạo,lao
椷	ham,giam,hàm
隰	thấp
瑀	vũ
揳	kiết,tiết
實	chí,thật,thực
崌	cư
不	phu,bất,phi,phầu,bưu,phủ,bỉ
韁	cương
鳏	quan
褰	khiên,kiển
甂	biên,thiên
砨	ải
岛	đảo
殭	cương,thương
湍	thoan
辩	biện
蕾	lôi,lội
僨	phẫn
杓	tiêu,chước,thược
薉	uế
姬	cơ
韶	thiều
閱	duyệt
侬	nùng,nông
濬	tuấn
厄	ách,ngỏa
轲	kha
饼	bính
疭	túng
遞	đãi,đái,đệ
技	kĩ,kỹ
赳	củ
冪	mạc,mịch
鷀	tư,từ
猁	lị,lợi
伇	dịch
阹	khư
讔	ẩn
纙	la
旪	hiệp
襛	nùng,nông
沚	chỉ
圣	thánh,khốt
錯	thố,thác
膀	bàng,báng,bảng
綆	cảnh,bính
侜	chu,trưu
畂	điền,mẫu
桉	án,an
泳	vịnh
撾	qua
戇	cống,tráng
鳶	diên
遻	ngạc,ngộ
宁	ninh,trữ
仂	lặc
傞	ta,thoa
峘	hoàn
甑	tặng,tắng
黔	kiềm
馮	phùng,bằng
寁	tiệp,toản
腜	môi
敦	đối,đạo,độn,điêu,đôi,đôn,đoàn,đồn
予	dữ,dư
筱	tiểu
匾	biền,biển
駃	khoái,quyết
庁	thính,sảnh
者	giả
詳	tường,dương
辎	truy,tri
戹	ách
骜	ngạo,ngao
諰	tải,tai,tỷ
軨	linh
掭	thiệm
僂	lũ,lâu
廡	vũ,vu
磕	khái
卽	tức
万	mặc,vạn
扪	môn
憣	phiên
嶷	nghi,ngực
藷	thự
雪	tuyết
惇	đôn
篙	cao
蛑	mâu
芡	khiếm
蓥	oánh
鞸	bí,tất
鬂	mấn,tấn
仓	thảng,thương,xương
轇	giao
瑩	oánh
鶩	vụ
軶	ách
栈	chăn,sạn,trăn,xiễn
筷	khoái
浊	trọc,trạc
祘	toán
编	biên
鄈	qùy
誋	kị,kỵ
债	trái
腆	điến,thiển
炔	quế,khuyết
嶰	giải
瘍	dương
譜	phả,phổ
捅	thống
疠	lệ
傾	khuynh
灣	loan
噥	nông
渭	vị
葚	nhẫm,thầm,thấm,thậm
兙	thập khắc
烃	hĩnh,thinh
酊	đính,đinh
鑰	dược,thược
璗	đãng
蟑	chương
栗	lật
宣	tuyên
稀	hy,hi
燾	đảo,đào
毻	thóa
曺	tào
箇	cá
橢	đọa,thỏa
灇	tung
谼	hồng
祛	khư
湛	thầm,đam,trạm,tiêm,trầm
证	chứng
泪	lệ
銓	thuyên
舓	thị,thỉ,để,chỉ
鵜	đề
乚	hào,ất
擔	đam,đảm
窿	long,lung
逞	sính
篔	vân
鷤	đề,đàn
簆	khấu
搜	tiêu,sưu,sảo
託	thác
颌	cáp,hạp
総	tổng
異	di,dị
髩	mấn,tấn
烂	lạn
輞	võng
聆	linh
棹	trạo,trác
充	sung
儅	đáng,đương,đang
矿	quáng,khoáng
窶	lũ,cũ
礴	bạc
蹋	tháp,đạp
臚	phu,lư,lô
甏	bạng,bảnh
趪	hoàng
龥	dụ
抪	phô
椔	chuy
怫	phất,phí,phật,bội
穮	tiêu
洪	hồng
烽	phong
磌	điền
懾	nhiếp
嶍	tập
钒	phàm
妳	nễ,nãi
交	giao
蹉	sa,tha
锰	mạnh,mãnh
挽	vãn
街	nhai
廓	khuếch,khoác
狐	hồ
瀉	tạ,tả
尲	dam,giam
錧	quản
婟	hộ
鍼	kiềm,trâm,châm
灕	ly,li
膋	doanh,liêu
拫	ngân
螕	bế
絎	hạnh,hàng
噗	phốc,phác
玷	điếm
罢	bì,bãi
醡	trá
謚	thụy,ích,tự
篋	khiếp
綺	khỉ,ỷ
嚬	tần
脕	vạn
糴	địch
兇	hung
鋖	thỏa,tư
阫	bồi,phôi
遍	biến
挼	nhoa,noa
钻	toàn,toản
陘	hình,kính
熅	úy,uấn,uân
耖	sao,sáo
抬	sĩ,si,đài
闓	khải,khai
戶	hộ
馱	đạ,đà
氷	băng
嵌	khảm,khâm
喎	oa,oai
萜	thiếp
蓑	thoa,tuy,tai,soa,toa,xoa
詑	tha,di
螣	đặc,đằng
殙	hôn
款	khoản
斶	xúc
諓	tiễn
溓	liệm,liêm,niêm,liễm
惄	nịch
耽	đam
翃	hoằng,hồng,hoành
豷	ế
捻	niêm,niệm,niễn,niệp,nhiên,nẫm
鳇	hoàng
迺	nãi
鼻	tị,tỵ,tì
欱	hát,hạp
庆	khánh,khương,khanh
牿	cốc,cố
铠	khải
篩	sư,si
綿	miên
礤	sát
璪	tảo
易	dịch,dị
瑁	mội,mạo
轃	trân
禗	tư
揆	qũy
鸻	hằng
軒	hiên,hiến
际	tế
扶	phù,bồ
皞	hạo
癍	ban
連	liên,liễn
貲	tý,ty,ti
纬	vĩ
牝	bẫn,tẫn
鈾	do,trụ
诂	hỗ,cổ
膚	phu
盠	lễ
泷	lung,lang
麇	khổn,quân,quần,khuân
圈	khuyên,quyển
縞	cảo
踥	thiếp
焠	thối,tụy
嘜	mã,mạch,mạ
呾	đán,thát,đát
颙	ngung
抮	chẩn,hiển
几	kì,ỷ,cơ,ky,ki,kỷ,kỉ
呿	khư
慑	nhiếp
梴	siên
猗	y,uy,ỷ,ả
缞	thôi
近	ký,cấn,cận
繃	băng,bắng,banh
丵	trác
洽	hiệp,hợp
源	nguyên
蟏	tiêu
膉	ích
磴	đặng
阢	ngột
昏	hôn,mẫn
亶	thiện,chiên,đàn,đản
炀	dượng,dương
敘	tự
耔	tỉ,tỷ,tì,tỳ
韞	ôn,uẩn
宛	uyển,uyên
跀	ngột
忸	nục,nữu
猑	côn
悵	trướng
垝	qụy,qủy
參	xam,sâm,tam,tảm,tham
晢	triết
戡	kham
漯	tháp,loa
緜	miên
錶	biểu
氓	manh
皋	hao,cao
襄	tương
簸	bá
虘	ta
訕	san,sán
钴	cổ
泂	huýnh,quýnh
奏	thấu,tấu
骔	tông
氂	mao,ly,li
梦	mộng,mông
胘	huyền
宫	cung
泡	pháo,bào,phao
齘	giới
瀠	oanh,uynh
溦	vy,vi
佇	trữ
嚥	yên,yến,yết
碇	đĩnh,đính
攘	nhượng,nhương,nhưỡng
针	trâm,châm
渣	tra
轣	lịch
狰	tranh
漰	băng,phanh,bằng
钗	sai,thoa
茹	nhự,như
臉	thiểm,liệm,liễm,kiểm
跨	khóa
飆	tiêu,tiên
梭	thoa,toa
偏	thiên
珖	quang
鹑	thuần
箹	ước
醁	lục
佔	chiêm,chiếm
傛	dung
桃	đào
賕	cầu
椎	chuy,chùy,trùy
踟	trì
蚺	nhiêm
扛	công,cang,giang
謆	phiến
骳	bí,bị
呌	khiêu,khiếu
叉	xoa
荜	tất
躚	tiên
垦	khẩn
禀	lẫm,bẩm,bằng
閟	bí
貈	hạc,lạc,mạch
椠	thiễm,tạm
豖	súc
邱	khâu,khưu
遰	đệ,thệ
艩	tề
禂	đảo
顄	hạm,hàm
蠟	chá,lạp
螰	lộc
窩	oa
擴	khoác,khoách,khoáng,khuếch,khoắc
懹	nhượng,hoài
倒	đảo,đáo
懕	yêm
犩	nguy
擂	lôi,lụy
烫	năng,đãng,nãng
舂	thung
瀦	trư,chư
顫	thiên,đạn,chiến,đản
因	nhân
瓦	ngõa,ngóa
镦	đôn,đối
纑	lư,lô
掙	tranh,tránh
飉	liêu
璂	ky
桩	thung,trang
媰	trâu
𡈼	sính
膣	trất
邺	nghiệp
隋	đọa,tùy
蠂	nhiếp
研	nghiên,nghiễn
衯	phân
兰	lan
诨	hộn,ngộn
憢	hiêu
拳	quyền
稂	lang
還	hoàn,toàn
塈	ký,kỵ,kí
鼾	han,hãn
崱	trắc,tắc
賝	sâm
髒	tang,tảng,táng
籽	tử
篾	miệt,mịch,miết
巛	xuyên,khôn
淟	điến
醟	vinh
鳑	bàng
帶	đái,đới
鎏	lưu
囗	vy,vi
蹂	nhựu,nhu,nhụ
鑹	thoản
序	tự
慱	đoàn
鮞	nhi
葴	châm
穽	tỉnh,tịnh
庹	thỏa
鈎	câu
嘯	tiêu,sất,khiếu
鹽	diêm,diễm
鵫	trạo
伪	ngụy
瘣	khối,lỗi,hối
费	bỉ,phí,bí
雕	điêu
隽	tuyển,tuyến,tuấn
懺	sám
刃	nhận,nhẫn
輀	nhi
冨	phú
銍	trất,chí
陿	hiệp
𫩕	hoành
镠	liêu,lưu
靴	ngoa
蚩	xi,xuy,si
戄	cụ,quặc
销	tiêu
穤	noãn,nhu,nọa
妟	yến
衩	xái,sái
鸶	ty,tư
躋	tê,tễ
羋	mị,nhị,mễ
癉	đả,đan,đản
採	thái,thải
晾	lượng,cảnh
赞	tán
廑	cần,cận
傮	tao
攫	quắc,quặc
蝈	quắc
犋	cụ
夲	bổn,thao,bản
鋼	cương
娗	đĩnh
噭	kiêu,khiếu,tiếu
嗍	thoa
惑	hoặc
䮂	bạt
箚	tráp
禹	vũ
扢	hất,cột,ngật
赐	tứ
醷	ải,ức
垣	viên
屩	khiêu,cược
櫃	qũy,cử
灧	liễm,diễm
勾	cấu,câu
蒤	đồ
赇	cầu
窖	giáo,diếu,giếu
咩	mị
蛅	chiêm
𫝀	ngũ
每	môi,mai,mỗi
妇	phụ
蛛	thù,chu
炎	viêm,đàm,diễm
诽	phỉ
荊	kinh
鴰	hộc,cốc,quát
敎	giao,giáo
夋	xuân,thuân
暴	bạo,bão,bộc
彴	chước,bột
峥	tranh
瀹	dược,thược
鹘	cốt,hốt
龝	thu,thâu
咶	hoái,thị,quát,oa
塿	lũ,lâu
镩	thoản
夤	dần,di
邅	truyên,chiên,triển,triên
呥	nhiêm
輮	nhụ
腸	tràng,trường
矅	diệu
斗	đấu,ẩu,đẩu
騸	phiến,thiến,phiếu
庸	dong,dung
坯	khôi,phôi,bôi
饝	ma
廖	liêu,liệu
鞱	thao
渦	oa,qua
耵	đinh
霶	bàng
蓮	liên
跻	kiểu,tê,tễ,nghiêu
沒	một
蕳	gian
镃	tư
遶	nhiễu
橪	nhiễn
枝	kỳ,kì,chi
劃	hoạch
侹	thính,đĩnh,đỉnh
較	giáo,giảo,giếu,giác
淵	uyên
惝	thảng,sưởng
皈	quy
鎞	bề,tỳ,bế,phê
脏	tạng,tảng,táng
姊	tỷ,tỉ
剜	oan
鲞	tưởng
扃	quynh,côi,quýnh
崦	yêm
赙	phụ
疏	sơ,sớ
帞	mạch
罒	võng
栌	lô
砒	tì,phê,tỳ
瀺	sàm
啁	trào,chù,chu,trù,triêu
龔	cung
蠡	lễ,lãi,lê,lỏa
杕	đà,đệ
俾	tỷ,tỉ
瘳	liêu,sưu
攒	toàn,toản
匔	khung,cung
蛆	thư
釨	tử
姥	mụ,lão,lạo,mỗ
掗	nhã,á
紖	dẫn
跛	bả,bí
堀	quật
簇	thốc,thấu,tộc
撚	niển,niễn,niên,niết,niệm,niệp,nhiên
奓	xỉ,tra,trá,xa
璧	bích
寤	ngụ,ngộ
触	xúc
枕	chấm,chẩm
骟	phiến,phiếu
阈	vực,quắc
祆	hiên,yêu
蝝	duyên
辗	niễn,triển
旐	triệu
们	môn
痎	giai
獞	đồng
甋	đích
輼	ôn,uân
箓	lục
鞲	câu
蔌	tốc
𤕦	nanh
涮	xuyến
睪	đố,trạch,dịch,cao,nhiếp
疑	nghi,nghĩ,ngưng,ngật
櫟	dược,lịch,lao
矬	tọa,tòa,toa
濛	mông
搎	tôn
哕	uyết,uế,hối
噤	cấm
倞	lượng,kính
咼	quai,oai,oa,qua
铡	trát
炽	sí
功	công
捞	liệu,lao
柄	bính
拧	ninh
瀳	tiến
嚨	lung
风	phúng,phong,phóng
悔	hổi,hối
滬	hỗ
鼷	hề
齿	xỉ
臌	cổ
颱	thai,di,đài
訬	sao,miểu
蝌	khoa
誇	khoa,khỏa
迆	di,dĩ
卡	sá,ca,tạp,khải
诒	di
埱	thúc
敻	quýnh,huyến
畇	quân,vận
舖	phố,phô
耒	lỗi
騎	kị,kỵ
間	gián,gian,nhàn
笊	tráo,trảo
琎	tấn
嘵	hiêu
鰦	tư
彖	thoán
𢹍	hy
较	giảo,giếu,giác
舢	san
吕	lữ,lã
婿	tế
骑	kị,kỵ
涕	di,thế
廠	xưởng
磍	hạt
媦	vị
糇	hầu
暸	liêu,liệu
呢	ni,nỉ
謟	thao
撝	huy
栊	long,lung
枋	phương,bính
盈	doanh
